Function,nr_c,dot_product_length,Num Samples,Max ABS difference,Min duration us,Max duration us,Average duration us
c_matrix_multiply,2,2,5,2.9802322e-08,0.0,7.0,0.4
c_opensal_matrix_multiply,2,2,5,2.9802322e-08,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,2,5,2.9802322e-08,0.0,1.0,0.1
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,5,2.9802322e-08,0.0,1.0,0.2
c_matrix_multiply,2,2,15,3.332001e-08,0.0,1.0,0.2
c_opensal_matrix_multiply,2,2,15,3.332001e-08,0.0,1.0,0.4
c_avx_fixed_dimension_matrix_multiply,2,2,15,3.332001e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,15,3.332001e-08,0.0,4.0,0.2
c_matrix_multiply,2,2,45,2.9802322e-08,0.0,1.0,0.8
c_opensal_matrix_multiply,2,2,45,2.9802322e-08,0.0,1.0,0.7
c_avx_fixed_dimension_matrix_multiply,2,2,45,2.9802322e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,45,2.9802322e-08,0.0,1.0,0.2
c_matrix_multiply,2,2,135,3.332001e-08,2.0,3.0,2.2
c_opensal_matrix_multiply,2,2,135,3.332001e-08,1.0,9.0,2.0
c_avx_fixed_dimension_matrix_multiply,2,2,135,3.332001e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,135,3.332001e-08,0.0,1.0,0.3
c_matrix_multiply,2,2,405,6.0068501e-08,6.0,12.0,6.6
c_opensal_matrix_multiply,2,2,405,6.0068501e-08,5.0,23.0,5.7
c_avx_fixed_dimension_matrix_multiply,2,2,405,6.0068501e-08,0.0,2.0,0.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,405,6.0068501e-08,0.0,1.0,0.5
c_matrix_multiply,2,2,1215,4.4742272e-08,19.0,34.0,19.4
c_opensal_matrix_multiply,2,2,1215,4.4742272e-08,16.0,20.0,16.4
c_avx_fixed_dimension_matrix_multiply,2,2,1215,4.4742272e-08,1.0,2.0,1.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,1215,4.4742272e-08,1.0,2.0,1.7
c_matrix_multiply,2,2,3645,4.2146848e-08,61.0,74.0,65.1
c_opensal_matrix_multiply,2,2,3645,4.2146848e-08,57.0,64.0,57.5
c_avx_fixed_dimension_matrix_multiply,2,2,3645,4.2146848e-08,4.0,13.0,4.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,3645,4.2146848e-08,4.0,16.0,4.9
c_matrix_multiply,2,2,10935,3.332001e-08,166.0,221.0,197.1
c_opensal_matrix_multiply,2,2,10935,3.332001e-08,146.0,150.0,147.6
c_avx_fixed_dimension_matrix_multiply,2,2,10935,3.332001e-08,17.0,28.0,18.0
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,10935,3.332001e-08,17.0,24.0,18.2
c_matrix_multiply,2,2,32805,6.664002e-08,509.0,574.0,533.0
c_opensal_matrix_multiply,2,2,32805,6.664002e-08,425.0,1581.0,441.8
c_avx_fixed_dimension_matrix_multiply,2,2,32805,6.664002e-08,59.0,64.0,59.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,32805,6.664002e-08,60.0,63.0,60.5
c_matrix_multiply,2,2,98415,6.664002e-08,1478.0,1846.0,1673.1
c_opensal_matrix_multiply,2,2,98415,6.664002e-08,1284.0,1560.0,1391.2
c_avx_fixed_dimension_matrix_multiply,2,2,98415,6.664002e-08,170.0,187.0,174.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,2,98415,6.664002e-08,184.0,208.0,191.0
c_matrix_multiply,2,3,5,3.071953e-08,0.0,1.0,0.3
c_opensal_matrix_multiply,2,3,5,3.071953e-08,0.0,1.0,0.2
c_avx_fixed_dimension_matrix_multiply,2,3,5,3.071953e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,5,3.071953e-08,0.0,1.0,0.2
c_matrix_multiply,2,3,15,5.9604645e-08,0.0,1.0,0.5
c_opensal_matrix_multiply,2,3,15,5.9604645e-08,0.0,1.0,0.5
c_avx_fixed_dimension_matrix_multiply,2,3,15,5.9604645e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,15,5.9604645e-08,0.0,1.0,0.2
c_matrix_multiply,2,3,45,6.143906e-08,1.0,3.0,1.2
c_opensal_matrix_multiply,2,3,45,6.143906e-08,1.0,2.0,1.1
c_avx_fixed_dimension_matrix_multiply,2,3,45,6.143906e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,45,6.143906e-08,0.0,1.0,0.2
c_matrix_multiply,2,3,135,6.664002e-08,3.0,4.0,3.3
c_opensal_matrix_multiply,2,3,135,6.664002e-08,2.0,5.0,2.8
c_avx_fixed_dimension_matrix_multiply,2,3,135,6.664002e-08,0.0,1.0,0.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,135,6.664002e-08,0.0,1.0,0.4
c_matrix_multiply,2,3,405,6.0068501e-08,9.0,112.0,10.4
c_opensal_matrix_multiply,2,3,405,6.0068501e-08,8.0,11.0,8.1
c_avx_fixed_dimension_matrix_multiply,2,3,405,6.0068501e-08,0.0,1.0,0.7
c_avx_fixed_dimension_accumulate_matrix_multiply,2,3,405,6.0068501e-08,0.0,12.0,0.8
c_matrix_multiply,2,3,1215,6.0068501e-08,28.0,34.0,28.4
c_opensal_matrix_multiply,2,3,1215,6.0068501e-08,23.0,42.0,24.2
